tahun,hs,jenis_komoditas,volume,nilai
2011,87,Kendaraan dan Bagiannya,202847432,1806001582
2011,71,Perhiasan/Permata,264450,1485332910
2011,84,Mesin-mesin/Pesawat Mekanik,116799094,946058592
2011,85,Mesin/Peralatan Listrik,121023615,771591428
2011,62,Pakaian Jadi Bukan Rajutan,53031796,841318250
2011,3,Ikan dan Udang,178129760,500523165
2011,61,Barang-barang Rajutan,44051684,736085275
2011,15,Lemak & Minyak Hewan/Nabati,567050027,606190023
2011,34,Sabun dan Prepat Pembersih,149176721,204867710
2011,33,"Minyak Atsiri, Kosmetik Wangi-wangian",72578277,265264202
2011,39,Plastik dan Barang dari Plastik,88073325,203578554
2011,38,Berbagai Produk Kimia,80810024,99984692
2011,74,Tembaga,25888638,209412671
2011,30,Produk Industri Farmasi,5780732,115691041
2011,73,Benda-benda dari Besi dan Baja,106169078,89383550
2011,21,Berbagai Makanan Olahan,24123711,81677211
2011,92,Perangkat Musik,8637306,113948211
2011,88,Kapal Terbang dan Bagiannya,1610384,94492884
2011,4,"Susu, Mentega, Telur",8828881,133101575
2011,19,Olahan dari Tepung,47161734,70145034
2012,87,Kendaraan dan Bagiannya,280756002,2744123960
2012,71,Perhiasan/Permata,335185,1230608876
2012,84,Mesin-mesin/Pesawat Mekanik,111590026,884745587
2012,85,Mesin/Peralatan Listrik,114570936,862283457
2012,62,Pakaian Jadi Bukan Rajutan,46824123,714015515
2012,3,Ikan dan Udang,195504087,674192356
2012,61,Barang-barang Rajutan,45734545,658871468
2012,15,Lemak & Minyak Hewan/Nabati,532304520,527453547
2012,34,Sabun dan Prepat Pembersih,230817378,285307852
2012,33,"Minyak Atsiri, Kosmetik Wangi-wangian",53553229,261378612
2012,39,Plastik dan Barang dari Plastik,116989980,237138370
2012,38,Berbagai Produk Kimia,188989980,226829018
2012,74,Tembaga,26933699,212729239
2012,30,Produk Industri Farmasi,5211594,134929153
2012,73,Benda-benda dari Besi dan Baja,44746477,114704228
2012,21,Berbagai Makanan Olahan,28031771,113428445
2012,92,Perangkat Musik,7709517,104433385
2012,88,Kapal Terbang dan Bagiannya,1556945,96967638
2012,4,"Susu, Mentega, Telur",5065514,92218532
2012,19,Olahan dari Tepung,55033035,91014132
