tahun,peruntukan,berat_beras
2004,TNI & Polri,2376
2004,PNS,13698
2004,Operasi Pasar,0
2004,Lainnya,0
2005,TNI & Polri,1912
2005,PNS,0
2005,Operasi Pasar,648
2005,Lainnya,23707
2006,TNI & Polri,924
2006,PNS,2783
2006,Operasi Pasar,1809
2006,Lainnya,17406
2007,TNI & Polri,376
2007,PNS,8894
2007,Operasi Pasar,39856
2007,Lainnya,16467
2008,TNI & Polri,207
2008,PNS,1014
2008,Operasi Pasar,25234
2008,Lainnya,310619
2009,TNI & Polri,460
2009,PNS,3625
2009,Operasi Pasar,0
2009,Lainnya,55337
2010,TNI & Polri,360
2010,PNS,2053
2010,Operasi Pasar,26889
2010,Lainnya,130057
2011,TNI & Polri,273
2011,PNS,1975
2011,Operasi Pasar,136555
2011,Lainnya,553710
2012,TNI & Polri,412
2012,PNS,3078
2012,Operasi Pasar,119485
2012,Lainnya,263065
