tahun,bulan,Ikan_laut_lokal,Ikan_laut_luar,ikan_darat_lokal,ikan_darat_luar
2011,Januari,"5626,66","7777,12","21,91","1790,22"
2011,Februari,"7926,82","6776,4","82,87","1631,52"
2011,Maret,"9996,04","6138,73","99,01","1507,71"
2011,April,"9399,45","3717,93","92,09","1699,51"
2011,Mei,"101149,13","4196,7","105,64","1646,29"
2011,Juni,"9297,62","3819,42",58,"1250,01"
2011,Juli,"9859,75","3701,3","90,3","1721,39"
2011,Agustus,"10422,24","3879,15","125,54","1406,35"
2011,September,"9906,13","3614,44","77,31","1475,57"
2011,Oktober,"12825,39","6630,63","85,02","1965,59"
2011,November,"13927,62","8125,33","97,4","1262,23"
2011,Desember,"11022,18","5821,46","87,24","1422,58"
