tahun,bulan,Kamal_Muara,Muara_Angke,Kali_Baru,Muara_Baru,Cilincing
2011,Januari,18900,1062936,21420,14109801,8845
2011,Februari,19720,914887,34935,15440269,7800
2011,Maret,22800,1170964,35602,16500973,11145
2011,April,23870,1349099,35252,13489173,11593
2011,Mei,23770,1780832,20972,14259400,12782
2011,Juni,22660,1710436,40193,12638670,13102
2011,Juli,23710,1778554,18249,13541009,11216
2011,Agustus,23580,1720380,18331,14061105,9882
2011,September,20700,2226865,20355,12798831,6705
2011,Oktober,22940,2297574,31139,19145639,9342
2011,November,23640,2492424,34268,20852341,9895
2011,Desember,24800,2119746,37635,16161652,9638
