tahun,jenis_alat,produksi
2009,Payang,157
2009,Dogol,"251,98"
2009,Pukat Cincin,"25178,47"
2009,Jaring Insan,"7095,82"
2009,Jaring Rampus,-
2009,Jaring Cumi,"8965,99"
2009,Rawai Tuna,"12223,34"
2009,Pancing Cumi,"217,3"
2009,Pancing  ,"20,38"
2009,Bubu,"312,87"
2009,Muro Ami,"230,37"
2009,Lainnya,"57926,63"
2010,Payang,"123,62"
2010,Dogol,"286,59"
2010,Pukat Cincin,"24694,72"
2010,Jaring Insan,"7523,9"
2010,Jaring Rampus,-
2010,Jaring Cumi,"6154,25"
2010,Rawai Tuna,"12173,63"
2010,Pancing Cumi,"265,18"
2010,Pancing  ,"26,8"
2010,Bubu,"289,69"
2010,Muro Ami,"184,23"
2010,Lainnya,"56748,46"
2011,Payang,"98,48"
2011,Dogol,"126,73"
2011,Pukat Cincin,"51175,86"
2011,Jaring Insan,"3404,83"
2011,Jaring Rampus,-
2011,Jaring Cumi,"20526,23"
2011,Rawai Tuna,"19536,23"
2011,Pancing Cumi,"506,68"
2011,Pancing  ,"12,67"
2011,Bubu,"194,65"
2011,Muro Ami,-
2011,Lainnya,"108782,6"
