tahun,nama_kabkota,jenis_tanaman,jumlah_pohon,produksi
2011,Jakarta Selatan,Alpukat,13793,249
2011,Jakarta Selatan,Mangga,7531,10859
2011,Jakarta Selatan,Rambutan,653,2154
2011,Jakarta Selatan,Duku/Langsat,61,472
2011,Jakarta Selatan,Jeruk,784,32
2011,Jakarta Selatan,Durian,7749,1199
2011,Jakarta Selatan,Jambu Biji,5927,3050
2011,Jakarta Selatan,Jambu Air,1730,1739
2011,Jakarta Selatan,Sawo,8620,736
2011,Jakarta Selatan,Pepaya,11652,1898
2011,Jakarta Selatan,Pisang,1300,1964
2011,Jakarta Selatan,Salak,70938,105
2011,Jakarta Selatan,Belimbing,3375,44927
2011,Jakarta Selatan,Nangka,24,2269
2011,Jakarta Selatan,Sirsak,1060,6
2011,Jakarta Selatan,Sukun,-,134
2011,Jakarta Timur,Alpukat,12263,286
2011,Jakarta Timur,Mangga,13220,9695
2011,Jakarta Timur,Rambutan,-,5528
2011,Jakarta Timur,Duku/Langsat,283,-
2011,Jakarta Timur,Jeruk,1858,232
2011,Jakarta Timur,Durian,7724,1063
2011,Jakarta Timur,Jambu Biji,7940,2694
2011,Jakarta Timur,Jambu Air,811,2698
2011,Jakarta Timur,Sawo,3213,483
2011,Jakarta Timur,Pepaya,18743,1497
2011,Jakarta Timur,Pisang,2939,4177
2011,Jakarta Timur,Salak,12263,204
2011,Jakarta Timur,Belimbing,6049,7783
2011,Jakarta Timur,Nangka,40,2557
2011,Jakarta Timur,Sirsak,-,5
2011,Jakarta Timur,Sukun,-,-
2011,Jakarta Pusat,Alpukat,800,1
2011,Jakarta Pusat,Mangga,-,160
2011,Jakarta Pusat,Rambutan,-,-
2011,Jakarta Pusat,Duku/Langsat,-,-
2011,Jakarta Pusat,Jeruk,-,-
2011,Jakarta Pusat,Durian,43,-
2011,Jakarta Pusat,Jambu Biji,210,4
2011,Jakarta Pusat,Jambu Air,-,9
2011,Jakarta Pusat,Sawo,-,-
2011,Jakarta Pusat,Pepaya,-,-
2011,Jakarta Pusat,Pisang,-,-
2011,Jakarta Pusat,Salak,50,-
2011,Jakarta Pusat,Belimbing,110,7
2011,Jakarta Pusat,Nangka,-,16
2011,Jakarta Pusat,Sirsak,-,-
2011,Jakarta Pusat,Sukun,-,-
2011,Jakarta Barat,Alpukat,19234,-
2011,Jakarta Barat,Mangga,16,11794
2011,Jakarta Barat,Rambutan,-,15
2011,Jakarta Barat,Duku/Langsat,106,-
2011,Jakarta Barat,Jeruk,-,87
2011,Jakarta Barat,Durian,3191,-
2011,Jakarta Barat,Jambu Biji,5173,1147
2011,Jakarta Barat,Jambu Air,154,1477
2011,Jakarta Barat,Sawo,-,217
2011,Jakarta Barat,Pepaya,1000,-
2011,Jakarta Barat,Pisang,41,166
2011,Jakarta Barat,Salak,3120,3
2011,Jakarta Barat,Belimbing,550,2387
2011,Jakarta Barat,Nangka,150,346
2011,Jakarta Barat,Sirsak,10,9
2011,Jakarta Barat,Sukun,-,4
2011,Jakarta Utara,Alpukat,5755,2
2011,Jakarta Utara,Mangga,-,3513
2011,Jakarta Utara,Rambutan,-,-
2011,Jakarta Utara,Duku/Langsat,-,-
2011,Jakarta Utara,Jeruk,-,-
2011,Jakarta Utara,Durian,3493,-
2011,Jakarta Utara,Jambu Biji,1943,866
2011,Jakarta Utara,Jambu Air,17,277
2011,Jakarta Utara,Sawo,80,10
2011,Jakarta Utara,Pepaya,4154,12
2011,Jakarta Utara,Pisang,-,642
2011,Jakarta Utara,Salak,2689,-
2011,Jakarta Utara,Belimbing,309,1059
2011,Jakarta Utara,Nangka,-,145
2011,Jakarta Utara,Sirsak,60,-
2011,Jakarta Utara,Sukun,-,26
