tahun,jenis_pelanggan,rentang_daya,appu,apps,appt
2012,Sosial,S 1 220 VA,-,-,-
2012,Sosial,S 2 450 - 2200 VA,24899104,22972729,17179299
2012,Sosial,S 2 > 2.2 Kva - 200 Kva,211288284,145243763,55863664
2012,Sosial,S 3 > 200 Kva,322015073,213523660,61271725
2012,Rumah Tangga,R 1 450 - 2200 VA,3124559014,3649378070,2352724352
2012,Rumah Tangga,R 2 > 2.2 Kva - 6600 VA,1046123838,890823670,361189010
2012,Rumah Tangga,R 3 6600 VA,796164605,848157957,109758997
2012,Usaha,B1 450 - 2200 VA,304229259,243209216,167284215
2012,Usaha,B2 > 2.2 Kva - 200 Kva,1522367825,828222784,569527146
2012,Usaha,B3 > 200 Kva,4313477829,2285649763,822012510
2012,Industri,I1 450 - 14 Kva,23709384,2308083,3808211
2012,Industri,I2 >14 Kva - 200 Kva,233448387,41626053,698765292
2012,Industri,I3 > 200 Kva,2608658861,340006720,5667667362
2012,Industri,I4 > 30000 Kva,1274688364,-,64301500
2012,Perkantoran,P1 450 - 200 Kva,105804900,72018104,22014670
2012,Perkantoran,P2 > 200 Kva,541261840,343079006,57736426
2012,Perkantoran,P3,177700615,104116866,77796665
2012,Lainnya,T TM 200 Kva,37802640,22286200,5577030
2012,Lainnya,C TM 200 KVA,-,-,-
2012,Lainnya,L,102050581,135743684,95662809
