tahun,bulan,jenis_pelanggan,jumlah
2012,Januari,Rumah Tangga,13378
2012,Februari,Rumah Tangga,13372
2012,Maret,Rumah Tangga,13363
2012,April,Rumah Tangga,13353
2012,Mei,Rumah Tangga,13311
2012,Juni,Rumah Tangga,13437
2012,Juli,Rumah Tangga,13472
2012,Agustus,Rumah Tangga,13461
2012,September,Rumah Tangga,13450
2012,Oktober,Rumah Tangga,13443
2012,Nopember,Rumah Tangga,13391
2012,Desember,Rumah Tangga,13376
2012,Januari,Industri Kecil Sedang,172
2012,Februari,Industri Kecil Sedang,172
2012,Maret,Industri Kecil Sedang,172
2012,April,Industri Kecil Sedang,172
2012,Mei,Industri Kecil Sedang,180
2012,Juni,Industri Kecil Sedang,179
2012,Juli,Industri Kecil Sedang,181
2012,Agustus,Industri Kecil Sedang,180
2012,September,Industri Kecil Sedang,181
2012,Oktober,Industri Kecil Sedang,181
2012,Nopember,Industri Kecil Sedang,180
2012,Desember,Industri Kecil Sedang,203
2012,Januari,Industri Besar,143
2012,Februari,Industri Besar,143
2012,Maret,Industri Besar,143
2012,April,Industri Besar,142
2012,Mei,Industri Besar,142
2012,Juni,Industri Besar,141
2012,Juli,Industri Besar,142
2012,Agustus,Industri Besar,142
2012,September,Industri Besar,141
2012,Oktober,Industri Besar,141
2012,Nopember,Industri Besar,140
2012,Desember,Industri Besar,140
