tahun,nama_kabkota,jenis_pelanggan,jumlah
2012,Jakarta Selatan,Rumah Tangga,653
2012,Jakarta Timur,Rumah Tangga,5785
2012,Jakarta Pusat,Rumah Tangga,4318
2012,Jakarta Barat,Rumah Tangga,1901
2012,Jakarta Utara,Rumah Tangga,719
2012,Jakarta Selatan,Komersial,19
2012,Jakarta Timur,Komersial,20
2012,Jakarta Pusat,Komersial,127
2012,Jakarta Barat,Komersial,34
2012,Jakarta Utara,Komersial,3
2012,Jakarta Selatan,Industri Besar,0
2012,Jakarta Timur,Industri Besar,87
2012,Jakarta Pusat,Industri Besar,0
2012,Jakarta Barat,Industri Besar,34
2012,Jakarta Utara,Industri Besar,19
