tahun,bulan,produksi,nilai_produksi,penjualan,nilai_penjualan
2012,Januari,,,77718279,183836911210
2012,Februari,,,75572405,180207105182
2012,Maret,,,83131081,205068714816
2012,April,,,83560638,201280870658
2012,Mei,,,87039713,276068215561
2012,Juni,,,85789431,220723074518
2012,Juli,,,92198146,251116668403
2012,Agustus,,,84529909,231410173489
2012,September,,,79447395,267378535694
2012,Oktober,,,83569633,275492815118
2012,Nopember,,,78180807,254190513455
2012,Desember,,,84339008,281345505673
